"Uniprot_ID","protein_names","gene_names","main_gene","pVal","BH_pVal","fold_change","log_fold_change"
"Q8BK58","HSPB1-associated protein 1","Hspbap1","Hspbap1",1.59546041713558e-07,0.000912284266518126,0.909345900093055,-0.137098918811428
"A0A0G2JEK2","Cysteine-rich protein 1","Crip1","Crip1",1.26838089548403e-05,0.0039710619558141,0.221789094320182,-2.17273966697568
"A0A1B0GT81","Apoptosis regulator BAX","Bax","Bax",7.86303169517222e-06,0.0039710619558141,0.805522836352592,-0.312002605365042
"Q7TMR8","Platelet-derived growth factor receptor beta;Receptor protein-tyrosine kinase","Pdgfrb","Pdgfrb",1.05586283374583e-05,0.0039710619558141,1.66778503979608,0.73793335232869
"Q3TZ17","PDZ and LIM domain protein 1","Pdlim1","Pdlim1",1.29623747635436e-05,0.0039710619558141,1.4464871678312,0.532553524796442
"P24549","Retinal dehydrogenase 1","Aldh1a1","Aldh1a1",5.498506308863e-06,0.0039710619558141,0.488580410141144,-1.03333207565143
"P26039","Talin-1","Tln1","Tln1",8.46718442640717e-06,0.0039710619558141,0.600193117008071,-0.73650132062837
"P40124","Adenylyl cyclase-associated protein 1;Adenylyl cyclase-associated protein","Cap1","Cap1",1.13226692506755e-05,0.0039710619558141,1.34423175727179,0.426781892761153
"Q3TFH8","Phosphoacetylglucosamine mutase","Pgm3","Pgm3",2.30548874682217e-06,0.0039710619558141,0.746777735340433,-0.4212491796328
"Q3U1J4","DNA damage-binding protein 1","Ddb1","Ddb1",1.05534017651396e-05,0.0039710619558141,0.735810165283586,-0.442594487477104
"Q5SWZ5","","Mprip","Mprip",1.3774891276157e-05,0.0039710619558141,0.704865729059969,-0.504579632366562
"Q60598","Src substrate cortactin","Cttn","Cttn",1.35076080105388e-05,0.0039710619558141,0.818388582945706,-0.289142076200143
"Q6DID7","Protein wntless homolog","Wls","Wls",1.17028772693409e-05,0.0039710619558141,1.49987320662668,0.584840546119469
"Q6GT24","Peroxiredoxin-6","Prdx6","Prdx6",3.67448258753499e-06,0.0039710619558141,0.607300257651946,-0.719518113624444
"Q8K0U4","Heat shock 70 kDa protein 12A","Hspa12a","Hspa12a",8.49603270492074e-06,0.0039710619558141,0.390207120622272,-1.35768798994732
"Q8R010","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2","Aimp2","Aimp2",4.00918299595601e-06,0.0039710619558141,1.18244779576725,0.241776491006339
"Q921K8","TRPM8 channel-associated factor 2","Tcaf2","Tcaf2",8.33599349795606e-06,0.0039710619558141,0.476589106842622,-1.06918211793687
"Q9D154","Leukocyte elastase inhibitor A","Serpinb1a","Serpinb1a",1.38896885477933e-05,0.0039710619558141,0.315566784096289,-1.66398273662558
"Q9JHI5","Isovaleryl-CoA dehydrogenase, mitochondrial","Ivd","Ivd",1.02599741468292e-05,0.0039710619558141,0.535627877356051,-0.900697045583055
"Q9JIK9","28S ribosomal protein S34, mitochondrial","Mrps34","Mrps34",1.91340192088169e-06,0.0039710619558141,1.48828009155945,0.573646064535491
"O09131","Glutathione S-transferase omega-1","Gsto1","Gsto1",1.56086478255916e-05,0.00414837527533416,0.393204374152927,-1.34664872403889
"Q3V100","Mannose-6-phosphate isomerase","Mpi","Mpi",1.59608702443777e-05,0.00414837527533416,0.692594881341423,-0.529916369625731
"D3YW86","","Tsc22d1","Tsc22d1",2.8363427910146e-05,0.00426519563031331,0.474943871233429,-1.07417106876567
"E9Q5K9","YTH domain-containing protein 1","Ythdc1","Ythdc1",3.01181385611461e-05,0.00426519563031331,0.817479420693082,-0.290745682365617
"F6RPJ9","Insulin-degrading enzyme","Ide","Ide",1.83886237765889e-05,0.00426519563031331,0.726931671954442,-0.460108330694615
"F8VQB6","Unconventional myosin-X","Myo10","Myo10",2.13380865983476e-05,0.00426519563031331,0.717885825923138,-0.478173681859051
"O08807","Peroxiredoxin-4","Prdx4","Prdx4",2.59133930970795e-05,0.00426519563031331,1.61248428354508,0.689285099040029
"Q80YP5","Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain","Itga5","Itga5",3.0351164281026e-05,0.00426519563031331,1.73819728096941,0.797591833662102
