"uniprot","protein_names","gene_names","wt_1_t24","wt_2_t24","wt_3_t24","wt_4_t24","wt_1_t36","wt_2_t36","wt_3_t36","wt_4_t36","ko_1_t24","ko_2_t24","ko_3_t24","ko_4_t24","ko_1_t36","ko_2_t36","ko_3_t36","ko_4_t36"
"P0DPB4","","Schip1",4844.21180439957,4258.84156243213,4471.0824235815,5076.71528771955,3803.70728422462,3447.94019968514,4435.88554661391,5523.32239776499,5239.26506963502,6150.16020408633,6194.24117213785,4974.63612959973,5128.01367811312,7009.51200106002,4364.75395747991,8232.34737219257
"A1A5B6","TBC1 domain family member 25","Tbc1d25",10350.3315196762,12438.9610844051,11180.3352552573,12674.702867031,12000.672429588,11409.6330387274,11719.4269455226,12811.8652222458,12318.8513815523,12041.18141017,13395.7317384176,10319.9942224424,11976.2855361516,12314.1380309212,13907.1911984507,15199.7752753089
"A2A432","Cullin-4B","Cul4b",431538.35350513,417973.314557134,472742.782596796,504916.844283227,435837.674155894,425447.209819013,488673.147662702,557550.921218576,470374.891074231,425304.579472338,529995.249722237,432864.55304497,473813.701149558,411800.83576744,523018.202982522,420902.434471496
"A2A4P0","ATP-dependent RNA helicase DHX8","Dhx8",7509.73381538906,8165.04486516295,6982.52257352493,8957.98161983444,8116.99078466917,7635.29025086051,6887.79247053947,8057.54361052031,6649.49069739145,7646.04337895548,7578.9399975191,7783.29134856221,7403.18423663561,6717.06538258861,8379.51496319088,8471.03495564929
"A2A5R2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2","Arfgef2",410409.216457546,379101.963796711,338574.934908631,317997.833441189,361375.670526523,360348.712438171,327589.036794679,325915.869688708,336314.376374225,296092.949030555,299345.90594998,300225.551228432,340232.787333084,291219.23925906,318041.009016928,296634.930288587
"A2A5Z6","E3 ubiquitin-protein ligase SMURF2","Smurf2",20801.8917654832,22150.3567210205,22810.0639570186,22129.9996636473,22574.4576779772,23873.7311312309,22356.6656753327,25148.5987396193,21715.9556361822,21441.5660483891,22201.5777536755,24722.3843517088,22407.919741225,23415.0086713109,20583.2061807559,22977.7413456471
"A2A699","Protein FAM171A2","Fam171a2",39764.6650455651,37394.8321004478,47271.4097908721,38822.1259777895,37276.185069315,38688.6975060619,46058.1674362499,42591.607183594,48160.9841912368,56668.9431162887,53679.8343297831,52878.3756187028,46547.1441186399,56517.7470628262,51623.9603859181,58645.9141572781
"A2A6A1","G patch domain-containing protein 8","Gpatch8",32687.4404113514,34114.538463191,35736.3405597574,38260.6750171098,32737.9789743308,33663.6630264422,37921.0204602576,37972.7038886885,41951.2404387039,36187.4344749928,48838.3809736842,32608.3834517404,40224.7395643691,37645.4779997044,48680.1978289421,39278.4787205653
"A2A6Q5","Cell division cycle protein 27 homolog","Cdc27",70655.528858188,71035.2354267533,73519.8116917807,77867.1500897815,66785.3686678236,69492.9938739902,67410.6493384259,80856.9565954239,63774.4312884661,64090.4339153974,69582.4326361282,65003.267650674,61527.9764794224,61920.4688315004,65816.7780162723,66897.5063748942
"A2A6T1","Cerebellar degeneration-related protein 2-like","Cdr2l",93547.4271586825,93047.7322030815,85542.5206201657,72785.7034737416,89123.0660915424,88004.4758129726,83643.4725741149,71535.6959590896,66278.7859686852,67681.9175252508,64898.5761240106,68221.3025048728,65016.298196894,71364.4931076529,62684.944534064,73542.0188421159
