uniprot,protein_names,gene_names,WT_p_value,WT_Effect_size,CKO_p_value,CKO_Effect_size,Genotype_p_value,Genotype_Effect_size,Gender_p_value,Genotype_Effect_size
P0DPB4,,Schip1,0.0259,0.1358,0.1326,-0.09485,0.0002,-0.3864,0.2023,0.2068
A1A5B6,TBC1 domain family member 25,Tbc1d25,0.4799,-0.04307,0.0166,-0.1511,0.3559,-0.09615,0.8566,0.02931
A2A432,Cullin-4B,Cul4b,0.3441,-0.05769,0.7048,0.0239,0.8648,0.01774,0.5725,0.09153
A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,0.5194,0.03928,0.3515,-0.05876,0.7032,0.03968,0.3937,0.1383
A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2,0.2703,0.06722,0.8034,-0.0157,0.0763,0.1846,0.9745,0.005184
A2A5Z6,E3 ubiquitin-protein ligase SMURF2,Smurf2,0.1177,-0.09539,0.8662,0.01062,0.855,0.01903,0.9444,-0.01131
A2A699,Protein FAM171A2,Fam171a2,0.8311,-0.013,0.8741,-0.009997,0.0003,-0.3748,0.5768,-0.0905
A2A6A1,G patch domain-containing protein 8,Gpatch8,0.8129,-0.01444,0.3025,-0.06504,0.0659,-0.1916,0.9982,-0.0003605
A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,0.4512,0.04593,0.5783,0.03506,0.1403,0.1536,0.6658,0.07005
A2A6T1,Cerebellar degeneration-related protein 2-like,Cdr2l,0.3945,0.05192,0.6716,-0.02674,0.0019,0.3227,0.5048,-0.1082
A2A791,Zinc finger MYM-type protein 4,Zmym4,0.8367,-0.01257,0.7612,-0.01917,0.0276,-0.2294,0.9661,0.006892
A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,0.3663,0.05509,0.9169,-0.006584,0.6341,-0.04957,0.9492,-0.01034
A2A8L5,Receptor-type tyrosine-protein phosphatase F,Ptprf,0.0211,0.1406,0.919,-0.006416,0.0364,-0.2179,0.8012,0.04083
A2A8U2,Transmembrane protein 201,Tmem201,0.0507,-0.1191,0.7164,0.02291,0.7602,-0.03179,0.5427,-0.09873
A2A8Z1,Oxysterol-binding protein-related protein 9,Osbpl9,0.5312,0.03818,0.7539,-0.01978,0.5306,0.06533,0.8572,-0.02917
A2A9C3,Protein SZT2,Szt2,0.0027,0.183,0.7491,0.02017,0.3612,-0.0951,0.9864,-0.002774
A2AAE1,Uncharacterized protein KIAA1109,Kiaa1109,0.6054,0.03151,0.0024,-0.1916,0.0125,-0.2602,0.1035,-0.2641
A2AAY5,SH3 and PX domain-containing protein 2B,Sh3pxd2b,0.8945,-0.008088,0.8233,-0.01409,0.8536,0.01922,0.6809,-0.06668
A2ABV5,Mediator of RNA polymerase II transcription subunit 14,Med14,0.2713,0.06708,0.355,0.05834,0.9858,-0.001856,0.7541,-0.0508
A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,0.3261,0.05988,0.1901,0.08264,0.1452,0.1517,0.9052,-0.01931
A2ADY9,Protein DDI1 homolog 2,Ddi2,0.49,0.04209,0.6292,-0.03046,0.0019,-0.3228,0.5663,0.093
A2AF47,Dedicator of cytokinesis protein 11,Dock11,0.2813,-0.0657,0.9403,-0.004727,0.1118,-0.1657,0.8934,-0.02174
A2AG50,MAP7 domain-containing protein 2,Map7d2,0.0001,0.3374,0.0295,-0.1373,0.2421,-0.1219,0.2473,-0.1876
A2AG58,Uncharacterized protein CXorf23 homolog,,0.0064,0.1662,0.3334,0.06102,0.0015,0.331,0.273,-0.1778
A2AGH6,Mediator of RNA polymerase II transcription subunit 12,Med12,0.0992,-0.1005,0.5447,0.0382,0.0878,-0.1778,0.6091,0.08292
A2AGT5,Cytoskeleton-associated protein 5,Ckap5,0.8129,-0.01443,0.8398,-0.01275,0.1886,0.1369,0.8773,-0.02505
A2AH22,Activating molecule in BECN1-regulated autophagy protein 1,Ambra1,0.017,-0.1455,0.9559,-0.003491,0.0184,-0.2456,0.2414,0.19
A2AHC3,Calmodulin-regulated spectrin-associated protein 1,Camsap1,0.2181,0.07509,0.9851,-0.00118,0.8265,0.02283,0.8368,-0.0334
A2AI08,Taperin,Tprn,0.6142,0.03073,0.0023,-0.1927,0.2701,-0.1149,0.8285,-0.03514
A2AIG8,1-aminocyclopropane-1-carboxylate synthase-like protein 1,Accs,0.5437,-0.03702,0.9097,0.007154,0.5255,-0.06613,0.4022,-0.1359
A2AIV2,Protein virilizer homolog,Kiaa1429,0.0032,-0.18,0.4509,-0.04755,0.0033,-0.3059,0.5851,0.08854
A2AIW0,Serologically defined colon cancer antigen 3 homolog,Sdccag3,0.7096,-0.02271,0.166,0.08736,0.2342,0.1239,0.3435,-0.1536
A2AJ15,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",Man1b1,0.8735,0.009708,0.5952,0.03352,0.3406,0.09927,0.7961,-0.0419
A2AJ88,Patatin-like phospholipase domain-containing protein 7,Pnpla7,0.0319,0.1308,0.0254,0.141,0.4286,0.08246,0.8071,0.03959
A2AJI0,MAP7 domain-containing protein 1,Map7d1,0.6683,0.02613,0.7276,0.02197,0.0067,0.2825,0.7543,-0.05076
A2AJT4,Arginine/serine-rich protein PNISR,Pnisr,0.0581,-0.1155,0.205,-0.07995,0.0001,-0.5294,0.6083,0.0831
A2AKG8,Focadhesin,Focad,0.8805,-0.009165,0.715,-0.02303,0.321,-0.1034,0.4634,0.1189
A2AKX3,Probable helicase senataxin,Setx,0.0233,-0.1384,0.5394,-0.03871,0.4161,-0.08469,0.4476,0.1232
A2ALU4,Protein Shroom2,Shroom2,0.142,-0.08952,0.8653,0.0107,0.0515,0.2028,0.0846,0.2797
A2ALW5,DnaJ homolog subfamily C member 25,Dnajc25,0.9427,0.004383,0.5955,-0.03348,0.2129,0.1298,0.9938,-0.001257
A2AMZ4,Uncharacterized protein C17orf89 homolog,,0.1322,0.09181,0.0918,0.1064,0.1523,-0.1491,0.8553,0.02958
A2AN08,E3 ubiquitin-protein ligase UBR4,Ubr4,0.9502,0.00381,0.4925,0.04329,0.1266,0.1591,0.9846,0.003124
A2APB8,Targeting protein for Xklp2,Tpx2,0.1679,-0.08408,0.0382,-0.1307,0.0001,0.3966,0.7217,0.05777
A2APV2,Formin-like protein 2,Fmnl2,0.606,-0.03145,0.328,-0.0617,0.2331,0.1242,0.4941,-0.1109
A2APY7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5,Ndufaf5,0.7341,-0.02071,0.2132,0.07851,0.5815,-0.05741,0.9751,-0.005059
A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,0.8633,-0.0105,0.5029,-0.04226,0.0203,-0.2417,0.5272,0.1025
A2AQ25,Sickle tail protein,Skt,0.6044,-0.03159,0.8655,0.01068,0.0001,-0.3964,0.5002,0.1093
